# GeoNames cities15000 (https://www.geonames.org), CC BY 4.0. Generated by Tools/make_places.py
Cape Town		-33.9258	18.4232	Western Cape	South Africa	4772846	ケープタウン,好望角鎮,開普敦,케이프타운	Africa/Johannesburg
Peshawar		34.0080	71.5785	Khyber Pakhtunkhwa	Pakistan	4758762	ペシャーワル,白沙瓦,페샤와르	Asia/Karachi
Zibo		36.7906	118.0633	Shandong	China	4704138	シ博市,淄博,淄博市,쯔보 시	Asia/Shanghai
Jeddah		21.4901	39.1862	Mecca Region	Saudi Arabia	4697000	ジッダ,吉达,吉達,제다	Asia/Riyadh
Chennai		13.0878	80.2785	Tamil Nadu	India	4681087	チェンナイ,清奈,金奈,첸나이	Asia/Kolkata
Kolkata		22.5626	88.3630	West Bengal	India	4631392	コルカタ,加尔各答,架利吉打,콜카타	Asia/Kolkata
Xiamen		24.4798	118.0819	Fujian	China	4617251	厦门,厦门市,廈門,廈門市	Asia/Shanghai
Surat		21.1959	72.8302	Gujarat	India	4591246	スーラト,苏拉特	Asia/Kolkata
Yangzhou		32.3972	119.4358	Jiangsu	China	4559797	扬州,扬州市,揚州,揚州市	Asia/Shanghai
Huai'an		33.5886	119.0192	Jiangsu	China	4556230	淮安,淮安市,화이안시	Asia/Shanghai
Guiyang		26.5833	106.7167	Guizhou	China	4506134	貴陽,貴陽市,贵阳,贵阳市	Asia/Shanghai
Yangon		16.8053	96.1561	Yangon	Myanmar	4477638	ヤンゴン,仰光,양곤	Asia/Yangon
Bao'an		22.5521	113.8829	Guangdong	China	4476554		Asia/Shanghai
Kabul		34.5281	69.1723	Kabul	Afghanistan	4434550	カブール,カーブル,喀布尔,喀布爾	Asia/Kabul
Nairobi		-1.2833	36.8167	Nairobi County	Kenya	4397073	ナイロビ,內羅比,内罗毕,奈洛比	Africa/Nairobi
Wuxi		31.5689	120.2886	Jiangsu	China	4396835	无锡,无锡市,無錫,無錫市	Asia/Shanghai
Giza		30.0094	31.2086	Giza	Egypt	4367343	ギーザ	Africa/Cairo
Lanzhou		36.0570	103.8399	Gansu	China	4359446	兰州,兰州市,蘭州,蘭州市	Asia/Shanghai
Bamako		12.6091	-7.9752	Bamako	Mali	4227569	バマコ,巴馬科,바마코	Africa/Bamako
Riyadh		24.6877	46.7219	Riyadh Region	Saudi Arabia	4205961	リヤド,利雅得,利雅德,리야드	Asia/Riyadh
Fuzhou		26.0614	119.3061	Fujian	China	4094491	福州,福州市,푸저우 시	Asia/Shanghai
Ürümqi	UEruemqi	43.8010	87.6005	Xinjiang	China	4054000	ウルムチ,ウルムチ市,乌鲁木齐,乌鲁木齐市	Asia/Urumqi
New Taipei City		25.0620	121.4570	Taipei	Taiwan	4004367	新北,新北市,신베이시	Asia/Taipei
New Territories		22.4244	114.1110		Hong Kong	3984077	新界	Asia/Hong_Kong
Chattogram		22.3384	91.8317	Chittagong	Bangladesh	3920222	チッタゴン,吉大港,吉大港市,치타공	Asia/Dhaka
Addis Ababa		9.0250	38.7469	Addis Ababa	Ethiopia	3860000	アディスアベバ,阿迪斯阿貝巴,아디스아바바	Africa/Addis_Ababa
Zaozhuang		34.8647	117.5542	Shandong	China	3855601	枣庄市,棗荘市,棗莊,짜오좡 시	Asia/Shanghai
Zhongshan		22.5231	113.3791	Guangdong	China	3841873	中山,中山市,중산 시	Asia/Shanghai
Shantou		23.3549	116.6788	Guangdong	China	3838900	汕头,汕头市,汕頭,汕頭市	Asia/Shanghai
Los Angeles		34.0522	-118.2437	California	United States	3820914	ロサンゼルス,洛杉矶,洛杉磯,로스앤젤레스	America/Los_Angeles
Faisalabad		31.4155	73.0897	Punjab	Pakistan	3800193	ファイサラバード,ファイサラーバード	Asia/Karachi
Dubai		25.0772	55.3093	Dubai	United Arab Emirates	3790000	ドバイ,杜拜,迪拜,두바이	Asia/Dubai
Yokohama		35.4333	139.6500	Kanagawa	Japan	3777491	よこはま,よこはまし,ヨコハマ,ヨコハマシ	Asia/Tokyo
Ningbo		29.8782	121.5494	Zhejiang	China	3731203	宁波,宁波市,寧波,寧波市	Asia/Shanghai
Nanhai		23.0219	113.1428	Guangdong	China	3667247	南海	Asia/Shanghai
Casablanca		33.5883	-7.6114	Casablanca-Settat	Morocco	3665954	カサブランカ,卡萨布兰卡,카사블랑카	Africa/Casablanca
Ibadan		7.3776	3.9059	Oyo State	Nigeria	3649000	イバダン,伊巴丹,이바단	Africa/Lagos
Puyang		29.4568	119.8887	Zhejiang	China	3590000	浦阳,浦阳街道	Asia/Shanghai
Ankara		39.9199	32.8543	Ankara	Turkey	3517182	アンカラ,安卡拉,앙카라	Europe/Istanbul
Shiyan		32.6475	110.7781	Hubei	China	3460000	十堰,十堰市,스옌 시	Asia/Shanghai
Hohhot		40.8106	111.6522	Inner Mongolia	China	3446100	フフホト,フフホト市,呼和浩特,呼和浩特市	Asia/Shanghai
Berlin		52.5244	13.4105	State of Berlin	Germany	3426354	ベルリン,柏林,베를린	Europe/Berlin
Tangshan		39.6438	118.1832	Hebei	China	3372102	唐山,唐山市,탕산 시	Asia/Shanghai
Rawalpindi		33.5973	73.0479	Punjab	Pakistan	3357612	ラーワルピンディー,拉瓦尔品第,라왈핀디	Asia/Karachi
Lüliang	Lueliang	37.5192	111.1444	Shanxi	China	3346500	吕梁市	Asia/Shanghai
Durban		-29.8579	31.0292	KwaZulu-Natal	South Africa	3338026	ダーバン,德班,爹濱,더반	Africa/Johannesburg
Anshan		41.1236	122.9900	Liaoning	China	3325372	鞍山,鞍山市,안산 시	Asia/Shanghai
Changzhou		31.7736	119.9540	Jiangsu	China	3290918	常州,常州市,창저우 시	Asia/Shanghai
Busan		35.1017	129.0300	Busan	South Korea	3285147	釜山,釜山市,釜山广域市,釜山広域市	Asia/Seoul
Madrid		40.4165	-3.7026	Madrid	Spain	3255944	マドリード,マドリード市,馬德里,马德里	Europe/Madrid
Pyongyang		39.0339	125.7543	Pyongyang	North Korea	3222000	平壌,平壤,平壤市,평양	Asia/Pyongyang
Pune		18.5196	73.8554	Maharashtra	India	3124458	プネー,浦納,浦那,푸네	Asia/Kolkata
Datong		40.0936	113.2914	Shanxi	China	3105591	大同市,다퉁 시	Asia/Shanghai
Bursa		40.1956	29.0601	Bursa Province	Turkey	3101833	ブルサ,布尔萨,부르사	Europe/Istanbul
Changsha		28.1987	112.9709	Hunan	China	3093980	長沙,長沙市,长沙,长沙市	Asia/Shanghai
Quezon City		14.6488	121.0509	National Capital Region	Philippines	3084270	奎松市	Asia/Manila
Jaipur		26.9196	75.7878	Rajasthan	India	3046163	ジャイプル,齋浦爾,齋葡亞,자이푸르	Asia/Kolkata
Huainan		32.6264	116.9969	Anhui	China	3033528	淮南市	Asia/Shanghai
Surabaya		-7.2492	112.7508	East Java	Indonesia	3018022	スラバヤ,泗水,수라바야	Asia/Jakarta
Incheon		37.4565	126.7052	Incheon	South Korea	3015482	仁川广域市,仁川広域市,仁川廣域市,인천	Asia/Seoul
Haikou		20.0342	110.3465	Hainan	China	3001600	海口,海口市,하이커우 시	Asia/Shanghai
Caracas		10.4880	-66.8792	Distrito Federal	Venezuela	3000000	カラカス,卡拉卡斯,카라카스	America/Caracas
Kyiv		50.4547	30.5238	Kyiv City	Ukraine	2952301	キーウ,基輔,키예프	Europe/Kyiv
İzmir	Izmir	38.4127	27.1384	İzmir Province	Turkey	2938292	イズミル,伊兹密尔	Europe/Istanbul
Huizhou		23.1115	114.4152	Guangdong	China	2900113	恵州,恵州市,惠州,惠州市	Asia/Shanghai
Buenos Aires		-34.6131	-58.3772	Buenos Aires F.D.	Argentina	2891082	ブエノスアイレス,布宜諾斯艾利斯,布宜诺斯艾利斯,부에노스아이레스	America/Argentina/Buenos_Aires
Yinchuan		38.4681	106.2731	Ningxia	China	2859074	銀川,銀川市,银川,银川市	Asia/Shanghai
Taichung		24.1469	120.6839	Taiwan	Taiwan	2850285	台中,台中市,臺中市,타이중 시	Asia/Taipei
Kanpur		26.4652	80.3498	Uttar Pradesh	India	2823249	カーンプル	Asia/Kolkata
Toronto		43.7064	-79.3986	Ontario	Canada	2794356	トロント,多伦多,多倫多,토론토	America/Toronto
Quito		-0.2298	-78.5250	Pichincha	Ecuador	2781641	キト,基多,키토	America/Guayaquil
Brisbane		-27.4679	153.0281	Queensland	Australia	2780063	ブリスベン,布里司班,布里斯本,布里斯班	Australia/Brisbane
Luanda		-8.8368	13.2343	Luanda	Angola	2776168	ルアンダ,盧安達,罗安达,루안다	Africa/Luanda
Baotou		40.6516	109.8439	Inner Mongolia	China	2761700	包头,包头市,包頭,包頭市	Asia/Shanghai
Osaka		34.6938	135.5011	Osaka	Japan	2753862	おおさかし,大阪,大阪市,오사카 시	Asia/Tokyo
Linyi		35.0631	118.3428	Shandong	China	2743843	临沂,临沂市,臨沂,臨沂市	Asia/Shanghai
Baoding		38.8729	115.4625	Hebei	China	2739887	保定,保定市,바오딩 시	Asia/Shanghai
Kaohsiung		22.6163	120.3133	Takao	Taiwan	2737660	たかおし,高雄,高雄巿,高雄市	Asia/Taipei
Brooklyn		40.6501	-73.9496	New York	United States	2736074	ブルックリン区,布鲁克林区,브루클린	America/New_York
Guayaquil		-2.1962	-79.8862	Guayas	Ecuador	2723665	グアヤキル,瓜亞基爾,과야킬	America/Guayaquil
Belo Horizonte		-19.9208	-43.9378	Minas Gerais	Brazil	2721564	ベロオリゾンチ,ベロオリゾンテ,貝洛奥里藏特,贝洛奥里藏特	America/Sao_Paulo
Minhang		31.1088	121.3747	Shanghai	China	2716600	闵行	Asia/Shanghai
Bazhong		31.8694	106.7443	Sichuan	China	2712894	巴中,巴中市,바중시	Asia/Shanghai
Salvador		-12.9756	-38.4910	Bahia	Brazil	2711840	サルバドール,サルヴァドール,萨尔瓦多,사우바도르	America/Bahia
Abuja		9.0579	7.4951	FCT	Nigeria	2690000	アブジャ,阿布賈,阿布贾,아부자	Africa/Lagos
Gazipur		23.9984	90.4223	Dhaka Division	Bangladesh	2674697	ガジプール	Asia/Dhaka
Chicago		41.8500	-87.6500	Illinois	United States	2664452	シカゴ,芝加哥,시카고	America/Chicago
Wenzhou		27.9994	120.6668	Zhejiang	China	2650000	温州,温州市,溫州市,원저우 시	Asia/Shanghai
Bekasi		-6.2349	106.9896	West Java	Indonesia	2648272	ブカシ,勿加泗,브카시	Asia/Jakarta
Dakar		14.6937	-17.4441	Dakar	Senegal	2646503	ダカール,達喀爾,다카르	Africa/Dakar
Haiphong		20.8648	106.6834	Hai Phong	Vietnam	2625200	ハイフォン,海防市	Asia/Bangkok
Yunfu		22.9279	112.0381	Guangdong	China	2612800	云浮,云浮市,雲浮,雲浮市	Asia/Shanghai
Navi Mumbai		19.0368	73.0158	Maharashtra	India	2600000	ナビムンバイ,新孟買,나비뭄바이	Asia/Kolkata
Mogadishu		2.0371	45.3438	Banaadir	Somalia	2587183	モガディシュ,摩加迪休,摩加迪殊,摩加迪沙	Africa/Mogadishu
Kumasi		6.6885	-1.6244	Ashanti	Ghana	2544530	クマシ,库马西,쿠마시	Africa/Accra
Bandung		-6.9222	107.6069	West Java	Indonesia	2528163	バンドン,万隆,萬隆,반둥	Asia/Jakarta
Gujranwala		32.1557	74.1870	Punjab	Pakistan	2511118	古杰兰瓦拉	Asia/Karachi
Medan		3.5833	98.6667	North Sumatra	Indonesia	2486283	メダン,棉蘭,메단	Asia/Jakarta
Lucknow		26.8393	80.9231	Uttar Pradesh	India	2472011	ラクナウ,ラクナウー,勒克瑙,러크나우	Asia/Kolkata
Xining		36.6255	101.7574	Qinghai	China	2467965	西宁,西宁市,西寧,西寧市	Asia/Shanghai
Ouagadougou		12.3657	-1.5339	Centre	Burkina Faso	2415266	ワガドゥグー,瓦加杜古,와가두구	Africa/Ouagadougou
Nagpur		21.1463	79.0849	Maharashtra	India	2405665	ナーグプル,那格浦尔,나그푸르	Asia/Kolkata
Fortaleza		-3.7172	-38.5431	Ceará	Brazil	2400000	フォルタレザ,福塔雷萨,福塔雷薩,포르탈레자	America/Fortaleza
Cali		3.4305	-76.5199	Valle del Cauca Department	Colombia	2392877	santiago・de・kari,サンティアゴ・デ・カリ,卡利,칼리	America/Bogota
Perth		-31.9522	115.8614	Western Australia	Australia	2384371	パース,珀斯,퍼스	Australia/Perth
Daegu		35.8703	128.5911	Daegu	South Korea	2365523	大邱广域市,大邱広域市,大邱廣域市,대구	Asia/Seoul
Algiers		36.7323	3.0875	Algiers	Algeria	2364230	アルジェ,阿爾及爾,알제	Africa/Algiers
Nanchang		28.6840	115.8531	Jiangxi	China	2357839	南昌,南昌市,난창 시	Asia/Shanghai
Baku		40.3777	49.8920	Baki	Azerbaijan	2351300	バクー,巴库,바쿠	Asia/Baku
Nagoya		35.1815	136.9064	Aichi	Japan	2332176	なごやし,名古屋,名古屋市,나고야 시	Asia/Tokyo
Rome		41.8919	12.5113	Lazio	Italy	2318895	ローマ,罗马市,羅馬,로마	Europe/Rome
Queens		40.6815	-73.8365	New York	United States	2316841		America/New_York
Houston		29.7633	-95.3633	Texas	United States	2314157	ヒューストン,休斯敦,休斯頓,休斯顿	America/Chicago
Mashhad		36.2981	59.6057	Razavi Khorasan	Iran	2307177	マシュハド,馬什哈德,마슈하드	Asia/Tehran
Shaoxing		30.0024	120.5786	Zhejiang	China	2300000	紹興,紹興市,绍兴,绍兴市	Asia/Shanghai
Nantong		32.0303	120.8747	Jiangsu	China	2273326	南通,南通市,난퉁 시	Asia/Shanghai
Baoshan		31.4084	121.4896	Shanghai	China	2265900	宝山	Asia/Shanghai
Kowloon		22.3167	114.1833		Hong Kong	2232339	九龍,九龙,주룽	Asia/Hong_Kong
Gaziantep		37.0594	37.3825	Gaziantep	Turkey	2222415	ガズィアンテプ,加濟安泰普,가지안테프	Europe/Istanbul
Lubumbashi		-11.6609	27.4794	Haut-Katanga	Democratic Republic of the Congo	2221925	ルブンバシ,盧本巴希,루붐바시,루붐바시 시	Africa/Lubumbashi
Manaus		-3.1019	-60.0250	Amazonas	Brazil	2219580	マナウス,马瑙斯	America/Manaus
Lusaka		-15.4067	28.2871	Lusaka Province	Zambia	2212301	ルサカ,盧薩卡,路沙卡,루사카	Africa/Lusaka
Brasília	Brasilia	-15.7797	-47.9297	Federal District	Brazil	2207718	ブラジリア,巴西利亚,巴西利亞,브라질리아	America/Sao_Paulo
Zhuhai		22.2769	113.5678	Guangdong	China	2207090	珠海,珠海市,주하이 시	Asia/Shanghai
Santo Domingo		18.4719	-69.8923	Nacional	Dominican Republic	2201941	聖多明哥,산토도밍고	America/Santo_Domingo
Lomé	Lome	6.1287	1.2215	Maritime	Togo	2188376	ロメ,洛美,로메	Africa/Lome
Multan		30.1968	71.4782	Punjab	Pakistan	2169915	ムルターン,木爾坦,물탄	Asia/Karachi
Havana		23.1330	-82.3830	Havana	Cuba	2163824	ハバナ,哈瓦那,夏灣拿,아바나	America/Havana
Depok		-6.4000	106.8186	West Java	Indonesia	2163635	デポック,德博,德博市	Asia/Jakarta
Ordos		39.6086	109.7816	Inner Mongolia	China	2153638	オルドス市,鄂尔多斯市,어얼둬쓰 시	Asia/Shanghai
Paris		48.8534	2.3488	Île-de-France	France	2138551	パリ,巴黎,파리	Europe/Paris
Coimbatore		11.0055	76.9661	Tamil Nadu	India	2136916	コーヤンブットゥール,哥印拜陀,코임바토르	Asia/Kolkata
Qingyang		35.7098	107.6445	Gansu	China	2125400	庆阳,庆阳市	Asia/Shanghai
Port Harcourt		4.7774	7.0134	Rivers State	Nigeria	2120000	ポートハーコート,哈科特港,포트하커트	Africa/Lagos
Pretoria		-25.7449	28.1878	Gauteng	South Africa	2112693	プレトリア,普利托利亞,普利托里亞,比勒陀利亚	Africa/Johannesburg
Córdoba	Cordoba	-31.4065	-64.1885	Cordoba	Argentina	2106734	コルドバ,科尔多瓦,코르도바	America/Argentina/Cordoba
Mbuji-Mayi		-6.1360	23.5898	East Kasai	Democratic Republic of the Congo	2101332	ムブジマイ,姆布吉马伊	Africa/Lubumbashi
Aleppo		36.2012	37.1612	Aleppo	Syria	2098210	アレッポ,阿勒颇,알레포	Asia/Damascus
